,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
555,WANDA,Quevedo,1,2023,1,20,888,22,175399345,11,24,7,1,15,176,4,Minor,72,96,63,25,0,21,7
556,Thought You Should Know,Morgan Wallen,1,2022,5,6,968,4,203221468,16,53,1,0,19,140,6,Major,53,51,70,49,0,14,3
557,In The End,Linkin Park,1,2000,10,24,25065,6,1624165576,63,0,6808,2,2,105,3,Minor,55,40,90,1,0,32,6
558,Zona De Perigo,Leo Santana,1,2022,12,8,531,4,134294498,20,1,71,2,2,135,5,Major,81,97,77,75,0,35,3
559,Lovezinho,Treyce,1,2022,7,28,242,0,70069745,12,2,13,0,0,128,4,Minor,82,61,59,30,0,12,4
560,I Like You (A Happier Song) (with Doja Cat),Post Malone,2,2022,6,3,5281,14,609293408,94,21,80,15,16,101,5,Major,74,43,69,12,0,12,7
561,I Like You (A Happier Song) (with Doja Cat),Doja Cat,2,2022,6,3,5281,14,609293408,94,21,80,15,16,101,5,Major,74,43,69,12,0,12,7
562,Neverita,Bad Bunny,1,2022,5,6,2590,30,671365962,20,64,35,6,33,122,10,Major,88,43,50,7,0,14,5
563,Vista Al Mar,Quevedo,1,2022,9,8,1769,34,362361576,16,19,21,3,18,105,-1,Minor,76,49,56,80,12,10,13
564,Sem Aliana no,MC Xenon,2,2022,12,23,454,4,93587665,6,1,21,0,1,83,1,Major,53,40,36,73,0,11,33
565,Sem Aliana no,Os Gemeos da Putaria,2,2022,12,23,454,4,93587665,6,1,21,0,1,83,1,Major,53,40,36,73,0,11,33
566,Enemy (with JID) - from the series Arcane League of Legends,Imagine Dragons,4,2021,9,3,6180,7,1223481149,122,88,580,21,38,77,11,Minor,72,59,76,24,0,42,28
567,Enemy (with JID) - from the series Arcane League of Legends,League of Legends,4,2021,9,3,6180,7,1223481149,122,88,580,21,38,77,11,Minor,72,59,76,24,0,42,28
568,Enemy (with JID) - from the series Arcane League of Legends,JID,4,2021,9,3,6180,7,1223481149,122,88,580,21,38,77,11,Minor,72,59,76,24,0,42,28
569,Enemy (with JID) - from the series Arcane League of Legends,Arcane,4,2021,9,3,6180,7,1223481149,122,88,580,21,38,77,11,Minor,72,59,76,24,0,42,28
570,Revenge,XXXTENTACION,1,2017,8,25,3600,11,1022258230,7,0,203,0,3,140,11,Minor,75,18,25,78,0,11,26
571,Bombonzinho - Ao Vivo,Israel & Rodolffo,2,2022,11,3,1254,6,263453310,26,69,73,2,25,158,1,Major,65,72,95,31,0,92,5
572,Bombonzinho - Ao Vivo,Ana Castela,2,2022,11,3,1254,6,263453310,26,69,73,2,25,158,1,Major,65,72,95,31,0,92,5
573,LA CANCI,J Balvin,2,2019,6,28,6398,31,1435127549,177,109,305,3,47,176,7,Major,75,43,65,15,0,11,32
574,LA CANCI,Bad Bunny,2,2019,6,28,6398,31,1435127549,177,109,305,3,47,176,7,Major,75,43,65,15,0,11,32
575,Qu Ago,Yuridia,2,2022,10,20,660,15,236857112,19,59,18,5,26,98,11,Major,73,88,57,56,0,5,2
576,Qu Ago,Angela Aguilar,2,2022,10,20,660,15,236857112,19,59,18,5,26,98,11,Major,73,88,57,56,0,5,2
577,Love Again,The Kid Laroi,1,2023,1,27,1283,0,147538971,57,4,48,0,1,107,11,Minor,66,47,40,72,0,11,3
578,After Hours,The Weeknd,1,2020,2,19,8084,6,698086140,45,115,218,1,40,109,5,Minor,66,16,57,10,1,12,3
579,About Damn Time,Lizzo,1,2022,7,15,2332,2,723894473,0,0,25,0,0,109,10,Minor,84,72,74,10,0,34,7
580,Born With A Beer In My Hand,Morgan Wallen,1,2023,3,3,203,0,34450974,5,9,0,0,3,148,-1,Major,53,61,81,5,0,36,4
581,Shinunoga E-Wa,Fujii Kaze,1,2020,5,20,685,14,403097450,24,94,9,0,36,158,6,Minor,60,52,76,17,0,19,5
582,Besos Moja2,Wisin & Yandel,2,2022,9,29,2460,13,309483971,53,7,56,3,7,94,5,Minor,74,64,73,6,0,10,6
