,track_name,artists,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,bpm,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
889,Attention,NewJeans,1,2022,8,1,799,12,264717480,14,141,9,0,105,Minor,81,70,65,24,0,8,4
890,THE SHADE,Rex Orange County,1,2022,3,11,1189,6,244928911,17,10,16,0,120,Major,90,73,51,39,0,9,6
891,"Come Back Home - From ""Purple Hearts""",Sofia Carson,1,2022,7,12,367,0,97610446,28,67,195,0,145,Major,56,43,53,24,0,12,4
892,El Rescate,"Grupo Marca Registrada, Junior H",2,2022,7,22,527,4,287278853,10,43,3,1,99,Minor,79,64,59,28,0,11,14
893,Heartless,Kanye West,1,2008,1,1,17504,34,887906111,63,39,1315,0,88,Minor,79,66,65,5,0,25,14
894,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)","Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",4,2022,7,15,3113,0,123473120,54,6,124,1,126,Major,81,90,73,28,0,29,4
895,Siempre Pendientes,"Peso Pluma, Luis R Conriquez",2,2022,8,15,685,5,295152154,15,79,4,2,136,Major,77,71,75,33,1,13,4
896,JGL,"Luis R Conriquez, La Adictiva",2,2022,2,18,782,9,323455692,15,33,6,1,113,Major,70,97,59,55,0,27,12
897,Don't You Worry,"David Guetta, Shakira, Black Eyed Peas",3,2022,6,16,2442,0,240918092,81,4,248,1,132,Major,82,49,88,20,0,21,3
898,Pipoco,"Melody, Ana Castela, Dj Chris No Beat",3,2022,5,20,1112,4,191873381,22,2,65,1,135,Major,77,74,74,47,0,34,8
899,Hold Me Closer,"Elton John, Britney Spears",2,2017,11,10,4967,0,284216603,165,10,177,4,126,Major,67,49,77,11,0,19,11
900,Forget Me,Lewis Capaldi,1,2022,9,9,2520,4,239411309,93,95,84,9,102,Minor,67,72,74,30,0,36,4
901,After LIKE,IVE,1,2022,8,22,767,12,265548837,20,129,11,0,125,Major,68,80,92,10,0,9,12
902,Bound 2,Kanye West,1,2013,1,1,19806,7,703301727,33,11,274,0,149,Major,37,28,66,14,0,9,5
903,B.O.T.A. (Baddest Of Them All) - Edit,"Interplanetary Criminal, Eliza Rose",2,2022,6,15,5153,6,244585109,102,53,113,12,137,Major,74,71,89,24,61,15,5
904,Talk that Talk,TWICE,1,2022,8,26,615,0,189476119,14,77,15,1,120,Minor,77,78,91,14,0,33,12
905,BILLIE EILISH.,Armani White,1,2022,1,20,2537,0,277132266,49,1,67,11,100,Major,90,75,50,11,0,9,26
906,Ferxxo 100,Feid,1,2022,6,3,1647,30,278920007,20,49,23,2,164,Minor,70,58,57,25,0,15,7
907,KU LO SA - A COLORS SHOW,Oxlade,1,2022,6,10,2019,8,222410722,117,72,107,1,93,Minor,65,79,66,31,0,22,7
